ID,Text,AudioSnippetPath
12197_14853,okay .,/content/all_data/12197_14853.mp3
20416_22493,a house .,/content/all_data/20416_22493.mp3
22564_24234,a door .,/content/all_data/22564_24234.mp3
23352_28228,a pig .,/content/all_data/23352_28228.mp3
27228_30118,a cup .,/content/all_data/27228_30118.mp3
32118_34415,boy .,/content/all_data/32118_34415.mp3
34604_36076,apple .,/content/all_data/34604_36076.mp3
38743_40540,go .,/content/all_data/38743_40540.mp3
41445_43071,ducky .,/content/all_data/41445_43071.mp3
42696_44477,ducky .,/content/all_data/42696_44477.mp3
45274_47400,quack quack !,/content/all_data/45274_47400.mp3
48150_50274,table .,/content/all_data/48150_50274.mp3
49274_53102,a monkey .,/content/all_data/49274_53102.mp3
52102_56290,a hammer .,/content/all_data/52102_56290.mp3
55290_58853,a fish .,/content/all_data/55290_58853.mp3
57853_64124,i have a fish name <his> [/] his name is xxx .,/content/all_data/57853_64124.mp3
77733_80484,a watch .,/content/all_data/77733_80484.mp3
81749_83859,spider .,/content/all_data/81749_83859.mp3
83749_85859,a web .,/content/all_data/83749_85859.mp3
86655_88702,xxx .,/content/all_data/86655_88702.mp3
88953_91327,a plate .,/content/all_data/88953_91327.mp3
91280_93202,a knife .,/content/all_data/91280_93202.mp3
98733_101077,shoes .,/content/all_data/98733_101077.mp3
101983_104233,slide .,/content/all_data/101983_104233.mp3
104281_106155,swing .,/content/all_data/104281_106155.mp3
106827_108858,guitar .,/content/all_data/106827_108858.mp3
111781_114077,lion .,/content/all_data/111781_114077.mp3
114233_116280,lion .,/content/all_data/114233_116280.mp3
117780_119655,a chain .,/content/all_data/117780_119655.mp3
118655_122780,soap .,/content/all_data/118655_122780.mp3
121780_125405,glasses .,/content/all_data/121780_125405.mp3
124405_128108,tiger .,/content/all_data/124405_128108.mp3
127108_130827,puzzle .,/content/all_data/127108_130827.mp3
129827_134531,hammer .,/content/all_data/129827_134531.mp3
134405_136827,finger .,/content/all_data/134405_136827.mp3
145796_147749,ring .,/content/all_data/145796_147749.mp3
147780_150109,finger .,/content/all_data/147780_150109.mp3
151452_155359,finger .,/content/all_data/151452_155359.mp3
158233_161202,a thumb .,/content/all_data/158233_161202.mp3
160202_166827,elephant .,/content/all_data/160202_166827.mp3
165827_169421,vacuum .,/content/all_data/165827_169421.mp3
171511_173291,shovel .,/content/all_data/171511_173291.mp3
172233_176483,teacher .,/content/all_data/172233_176483.mp3
175483_180108,zebra .,/content/all_data/175483_180108.mp3
179108_183233,giraffe .,/content/all_data/179108_183233.mp3
186421_190608,vegetable .,/content/all_data/186421_190608.mp3
193155_196092,combing her hair .,/content/all_data/193155_196092.mp3
197109_200421,brushing .,/content/all_data/197109_200421.mp3
203671_205999,blue .,/content/all_data/203671_205999.mp3
206155_208233,yellow .,/content/all_data/206155_208233.mp3
212108_214030,boy .,/content/all_data/212108_214030.mp3
220155_223109,brother .,/content/all_data/220155_223109.mp3
225124_227123,frog .,/content/all_data/225124_227123.mp3
228280_230780,green .,/content/all_data/228280_230780.mp3
238733_243781,a black .,/content/all_data/238733_243781.mp3
247499_250483,the grey .,/content/all_data/247499_250483.mp3
250483_252608,white .,/content/all_data/250483_252608.mp3
255874_257874,leaf .,/content/all_data/255874_257874.mp3
256874_260280,xxx .,/content/all_data/256874_260280.mp3
259280_264202,smell a cheese .,/content/all_data/259280_264202.mp3
267702_271483,jamas [: pajamas] .,/content/all_data/267702_271483.mp3
271796_274702,jamas [: pajamas] .,/content/all_data/271796_274702.mp3
294780_297499,princess .,/content/all_data/294780_297499.mp3
307171_309281,crown .,/content/all_data/307171_309281.mp3
312905_315249,car .,/content/all_data/312905_315249.mp3
315421_318577,xxx .,/content/all_data/315421_318577.mp3
321920_324359,a truck .,/content/all_data/321920_324359.mp3
325280_327577,red .,/content/all_data/325280_327577.mp3
330202_334031,"apple &-ju, u:h, orange juice .",/content/all_data/330202_334031.mp3
338280_340858,a zoo .,/content/all_data/338280_340858.mp3
343655_346030,bars [: stars] .,/content/all_data/343655_346030.mp3
346358_351202,"two, three, four, five, six, seven .",/content/all_data/346358_351202.mp3
358523_360273,okay .,/content/all_data/358523_360273.mp3
424773_426653,okay .,/content/all_data/424773_426653.mp3
429780_434781,three friends are walking home from school .,/content/all_data/429780_434781.mp3
437327_441578,they see something furry and black .,/content/all_data/437327_441578.mp3
451312_455932,zoom by and under a bush .,/content/all_data/451312_455932.mp3
458374_462923,Jim guesses a deer .,/content/all_data/458374_462923.mp3
464030_467327,that is a silly guess .,/content/all_data/464030_467327.mp3
468749_472624,a deer is not little .,/content/all_data/468749_472624.mp3
474952_477781,a deer is big .,/content/all_data/474952_477781.mp3
479233_483124,Tina guesses it a chicken .,/content/all_data/479233_483124.mp3
484453_487203,a silly guess .,/content/all_data/484453_487203.mp3
488031_491671,a chicken don't have fur .,/content/all_data/488031_491671.mp3
492983_495921,a chicken has feathers .,/content/all_data/492983_495921.mp3
498874_502858,Vinny guesses a rabbit .,/content/all_data/498874_502858.mp3
504031_506608,that is a silly guess .,/content/all_data/504031_506608.mp3
511874_515733,a rabbit won't run .,/content/all_data/511874_515733.mp3
517702_520749,a rabbit will hop .,/content/all_data/517702_520749.mp3
531827_534577,branches .,/content/all_data/531827_534577.mp3
540108_545733,the children look under xxx .,/content/all_data/540108_545733.mp3
552780_561452,the children look under <the> [/] <the> [/] the .,/content/all_data/552780_561452.mp3
562749_566874,bush's thick branches .,/content/all_data/562749_566874.mp3
570452_573733,they shout it's a puppy .,/content/all_data/570452_573733.mp3
574405_577202,the puppy sees the kids .,/content/all_data/574405_577202.mp3
578671_582780,it drops a green ball from its mouth .,/content/all_data/578671_582780.mp3
589577_593499,"it barks, play catch with me .",/content/all_data/589577_593499.mp3
655060_656827,bridge .,/content/all_data/655060_656827.mp3
767567_771957,where is the house ?,/content/all_data/767567_771957.mp3
793269_795551,a nose .,/content/all_data/793269_795551.mp3
794738_796863,eyes .,/content/all_data/794738_796863.mp3
795863_799941,a cat .,/content/all_data/795863_799941.mp3
798941_801582,a ball .,/content/all_data/798941_801582.mp3
800582_804941,a shoe .,/content/all_data/800582_804941.mp3
803941_809144,a fish .,/content/all_data/803941_809144.mp3
808144_810832,a spoon .,/content/all_data/808144_810832.mp3
809832_815019,chair .,/content/all_data/809832_815019.mp3
814019_817394,a key .,/content/all_data/814019_817394.mp3
816394_820316,a xxx .,/content/all_data/816394_820316.mp3
819316_822488,a rainbow .,/content/all_data/819316_822488.mp3
821488_826206,a watch .,/content/all_data/821488_826206.mp3
825206_832691,a triangle .,/content/all_data/825206_832691.mp3
831691_835863,a xxx .,/content/all_data/831691_835863.mp3
834863_838019,an xxx .,/content/all_data/834863_838019.mp3
837019_842191,up a helicopter .,/content/all_data/837019_842191.mp3
841191_845941,a xxx .,/content/all_data/841191_845941.mp3
844941_848457,a feather .,/content/all_data/844941_848457.mp3
852269_854113,xxx .,/content/all_data/852269_854113.mp3
853113_856785,keychain .,/content/all_data/853113_856785.mp3
855785_861831,glass .,/content/all_data/855785_861831.mp3
876862_879332,no ?,/content/all_data/876862_879332.mp3
888660_893113,i don't know .,/content/all_data/888660_893113.mp3
892113_896769,i don't know .,/content/all_data/892113_896769.mp3
895769_899816,i don't know .,/content/all_data/895769_899816.mp3
898816_917113,i don't know .,/content/all_data/898816_917113.mp3
922707_929066,xxx .,/content/all_data/922707_929066.mp3
929816_933895,blasting .,/content/all_data/929816_933895.mp3
939956_943144,fly .,/content/all_data/939956_943144.mp3
946144_950894,i don't know .,/content/all_data/946144_950894.mp3
955519_959784,tying my shoe .,/content/all_data/955519_959784.mp3
994769_996394,yeah .,/content/all_data/994769_996394.mp3
1012324_1015418,xxx .,/content/all_data/1012324_1015418.mp3
1017715_1019919,i feel crazy !,/content/all_data/1017715_1019919.mp3
1020301_1021833,yeah .,/content/all_data/1020301_1021833.mp3
1027582_1030862,monkey .,/content/all_data/1027582_1030862.mp3
1032316_1036863,a people .,/content/all_data/1032316_1036863.mp3
1039144_1047238,what is this ?,/content/all_data/1039144_1047238.mp3
1048894_1051316,vulture .,/content/all_data/1048894_1051316.mp3
1050316_1055566,cuz [: because] vultures is are scary .,/content/all_data/1050316_1055566.mp3
1054566_1061238,giraffe .,/content/all_data/1054566_1061238.mp3
1062332_1065988,i just go to the zoo .,/content/all_data/1062332_1065988.mp3
1064988_1068816,with .,/content/all_data/1064988_1068816.mp3
1069644_1073363,to see a giraffe .,/content/all_data/1069644_1073363.mp3
1072363_1075816,zebras or I don't know .,/content/all_data/1072363_1075816.mp3
1078816_1080941,zebra !,/content/all_data/1078816_1080941.mp3
1084191_1089363,let me get xxx all of these first .,/content/all_data/1084191_1089363.mp3
1089644_1092644,xxx .,/content/all_data/1089644_1092644.mp3
1091644_1096066,you just fill that boo .,/content/all_data/1091644_1096066.mp3
1095066_1098737,people .,/content/all_data/1095066_1098737.mp3
1097737_1101394,just say the people are ready ?,/content/all_data/1097737_1101394.mp3
1100394_1102863,wipes .,/content/all_data/1100394_1102863.mp3
1101863_1106191,yeah .,/content/all_data/1101863_1106191.mp3
1105191_1110613,there .,/content/all_data/1105191_1110613.mp3
1109613_1115316,okay .,/content/all_data/1109613_1115316.mp3
1114316_1116894,this sticky .,/content/all_data/1114316_1116894.mp3
